name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,282,122528341,,,,,,,-8.6755597,41.1494088,,,
,283,122528346,,,,,,,-8.6758709,41.149878,,,
,284,314075061,,,,,,,-8.6800301,41.1549133,,,
,285,111439225,,,,,,,-8.6818903,41.1571219,,,
,286,311887304,,,,,,,-8.6837305,41.1593345,,,
,287,122525234,,,,,,,-8.6783507,41.152985,,,
,288,122525235,,,,,,,-8.6787639,41.153449,,,
,289,122523605,,,,,,,-8.6797023,41.1545235,,,
,290,4567051375,crossing,,,,,,-8.6792827,41.1539423,,,
,291,111428028,,,,,,,-8.6885946,41.1673547,,,
,292,8371372380,traffic_signals,,signal,,,,-8.6884273,41.1673143,,,
,293,6173654637,,,,,,,-8.6728786,41.1490626,,,
,294,111467271,,,,,,,-8.6328764,41.146954,,,
,295,478821668,,,,,,,-8.6318066,41.1463634,,,
,296,3391598610,crossing,,,,,,-8.6316434,41.1462596,,,
,297,111479507,,,,,,,-8.6164684,41.1404984,,,
,298,111479509,,,,,,,-8.6161892,41.14049,,,
,299,111481288,traffic_signals,,signal,,,,-8.613438,41.1414248,,,
,300,276935847,,,,,,,-8.5736894,41.1440622,,,
,301,114328953,,,,,,,-8.5758778,41.1440152,,,
,302,112617168,,,,,,,-8.5657587,41.1637248,,,
,303,5291944065,,,,,,,-8.5651298,41.162695,,,
,304,112664167,,,,,,,-8.5656424,41.163737,,,
,305,112664170,,,,,,,-8.5659462,41.1653438,,,
,306,25507529,,,,,,,-8.5805016,41.0736515,,,
,307,319441227,,,,,,,-8.5785152,41.0763057,,,
,308,90379359,,,,,,,-8.6721342,41.1552865,,,
,309,1766397693,,,,,,,-8.6697516,41.1562218,,,
,310,3897692188,,,,,,,-8.668062,41.1568874,,,
,311,311888690,,,,,,,-8.6667985,41.1573843,,,
IC23 Gaia / Ol. Douro,312,3693344965,motorway_junction,,,,,,-8.5808246,41.1384089,,,
,313,3693344875,,,,,,,-8.5809633,41.1375385,,,
,314,111415443,,,,,,,-8.6439449,41.1603361,,,
,315,8268096108,,,,,,,-8.6449149,41.1587036,,,
,316,126394574,,,,,,,-8.645133,41.1583921,,,
,317,8268096111,,,,,,,-8.6450782,41.1583834,,,
,318,8268096110,,,,,,,-8.6447682,41.1586118,,,
,319,9025059610,traffic_signals,,signal,,,,-8.642188,41.1599551,,,
,320,111415445,,,,,,,-8.6420585,41.1600204,,,
,321,4444772660,motorway_junction,,,,,,-8.6452306,41.1550502,,,
,322,3540014383,,,,,,,-8.6453625,41.1570127,,,
,323,126398316,,,,,,,-8.6458826,41.1562423,,,
,324,784545881,,,,,,,-8.645209,41.1545847,,,
,325,26016445,,,,,,,-8.6460349,41.156564,,,
,326,26016446,,,,,,,-8.6459508,41.1567287,,,
,327,4695525092,,,,,,,-8.6484557,41.1598944,,,
,328,126398059,,,,,,,-8.6458005,41.1564294,,,
,329,126401368,,,,,,,-8.6454697,41.1573769,,,
,330,126397454,,,,,,,-8.6455756,41.1567787,,,
,331,126401370,,,,,,,-8.6455537,41.1576099,,,
,332,126411675,,,,,,,-8.6474427,41.1589957,,,
,333,1664450373,,,,,,,-8.6455744,41.1578897,,,
,334,7801967322,,,,,,,-8.645498,41.1580275,,,
,335,126404031,,,,,,,-8.6452239,41.1579492,,,
,336,1264279315,,,,,,,-8.6489004,41.1611537,,,
,337,4452248159,,,,,,,-8.6480375,41.1609338,,,
,338,1264279438,,,,,,,-8.6503702,41.1614072,,,
,339,126542182,,,,,,,-8.6500167,41.1597645,,,
,340,784545891,motorway_junction,,,,,,-8.6491299,41.16063,,,
,341,126543210,,,,,,,-8.6490693,41.1601343,,,
,342,126544304,,,,,,,-8.6494794,41.1584634,,,
,343,126542188,,,,,,,-8.6483137,41.1590659,,,
,344,4758581105,,,,,,,-8.6495592,41.1583675,,,
,345,126544301,,,,,,,-8.64944,41.1581908,,,
,346,126552532,,,,,,,-8.6490819,41.1593299,,,
,347,126547500,,,,,,,-8.6501374,41.1601103,,,
,348,4188196442,traffic_signals,,signal,,,,-8.6502276,41.1612644,,,
,349,1264279478,,,,,,,-8.6500763,41.1613518,,,
,350,1143318441,,,,,,,-8.6490856,41.1575879,,,
,351,126552534,,,,,,,-8.6494761,41.1594531,,,
,352,126542186,,,,,,,-8.6490846,41.1592593,,,
,353,126542185,,,,,,,-8.6494999,41.1593969,,,
,354,26016441,,,,,,,-8.6473116,41.1583005,,,
,355,126580884,motorway_junction,,,,,,-8.6475889,41.1644474,,,
,356,126580298,,,,,,,-8.64829,41.1644214,,,
,357,126580303,,,,,,,-8.6491665,41.1644132,,,
,358,126582697,,,,,,,-8.6494904,41.1632676,,,
,359,497690598,,,,,,,-8.6491161,41.1639996,,,
,360,126581609,,,,,,,-8.6489068,41.164332,,,
,361,126581622,,,,,,,-8.6485605,41.1637503,,,
,362,126583944,,,,,,,-8.649894,41.1616708,,,
,363,1264279327,,,,,,,-8.6497816,41.1614398,,,
,364,126597343,traffic_signals,,signal,,,,-8.6325164,41.1620091,,,
,365,1216466391,,,,,,,-8.6314861,41.1625237,,,
,366,1471128087,,,,,,,-8.627697,41.175359,,,
,367,1202110494,,,,,,,-8.6257936,41.1699205,,,
,368,126608577,,,,,,,-8.6256211,41.1691499,,,
,369,126604789,traffic_signals,,signal,,,,-8.6246588,41.1598672,,,
,370,3446699996,,,,,,,-8.6280124,41.1584204,,,
,371,126617352,,,,,,,-8.6027699,41.1598906,,,
,372,126617428,,,,,,,-8.6113729,41.161721,,,
,373,126617430,traffic_signals,,signal,,,,-8.6095973,41.1614656,,,
,374,2363578530,,,,,,,-8.6043405,41.1606259,,,
,375,404754617,,,,,,,-8.5983147,41.1607479,,,
,376,287458354,,,,,,,-8.6124044,41.188434,,,
,377,2583930788,,,,,,,-8.6131959,41.1849617,,,
,378,122452427,traffic_signals,,signal,,,,-8.6111351,41.1627093,,,
,379,5865201859,traffic_signals,,signal,,,,-8.6113169,41.1618663,,,
,380,5865201860,traffic_signals,,signal,,,,-8.6114368,41.16156,,,
,381,128560274,,,,,,,-8.6122303,41.1580559,,,
,382,128566335,traffic_signals,,signal,,,,-8.6127436,41.1718292,,,
,383,128560437,,,,,,,-8.6128402,41.1710753,,,
,384,26015915,,,,,,,-8.6112672,41.1744427,,,
,385,128569678,,,,,,,-8.6170546,41.17402,,,
,386,128569766,,,,,,,-8.6170284,41.1738986,,,
,387,26015916,,,,,,,-8.6112907,41.1743231,,,
,388,128571479,,,,,,,-8.6108533,41.1745118,,,
,389,128571476,,,,,,,-8.6126689,41.1748058,,,
,390,128617101,,,,,,,-8.6135149,41.1748731,,,
,391,128616477,,,,,,,-8.6136826,41.1747962,,,
,392,128573633,,,,,,,-8.6141709,41.1746525,,,
,393,4526609655,,,,,,,-8.6166751,41.1742082,,,
,394,411831032,,,,,,,-8.6170037,41.1737785,,,
,395,128575853,,,,,,,-8.6140041,41.1741811,,,
,396,128616478,,,,,,,-8.6134644,41.1742324,,,
,397,128617100,,,,,,,-8.6133064,41.1742443,,,
,398,128577510,,,,,,,-8.6127512,41.1742225,,,
,399,128577519,,,,,,,-8.6100682,41.1741101,,,
,400,128580161,,,,,,,-8.6056814,41.1731625,,,
,401,128579825,,,,,,,-8.6069436,41.1728529,,,
,402,128581932,,,,,,,-8.6054191,41.1728156,,,
,403,128581937,,,,,,,-8.6053176,41.1725805,,,
,404,2490198483,,,,,,,-8.6055323,41.1717155,,,
,405,2490198482,,,,,,,-8.605512,41.1715966,,,
